user,full_text,favourite_count,retweet_count
ResourceDefiant4971,"If Aditya Dhar had shown this scene in Dhurandhar 2, outrage would’ve broken the internet. ",8287,345
adnyani,This is so funny 😆 ,7674,383
MrHusky777,Bro was so innocent before😭 ,6833,114
Admirable-Ticket3584,"As much as I despise KRK and his usual opinions, i cannot disagree here ",6199,158
TreacleOk1267,Deserves more praise for whatever she pulled of at this young age❤️ ,5449,153
Glad-Ad5911,Ranveer Singh credits his whole success to his manager he appointed in 2022 ,5119,152
GiveMeSomeSunshine3,Bro was Hamza's Doraemon in Dhurandhar ,4873,119
MurkyChurky,"Ranveer Versatile Singh 🔥🔥 Ranveer Singh has always been a brilliant and versatile actor, whether it’s 83, Padmaavat, GB, Bajirao Mastani or many others. In each film, he has shown a different side of himself and proved his range again and again.

With Dhurandhar 2, he has taken that level even at more top. His performance feels very natural on screen, and the way he carries the character shows his strong range on acting.

Ranveer truly stands among the finest actors of this generation.",4484,127
Sharp-potential7935,Aditya dhar who? ,4319,188
PratikWinner,Still remained underrated ,3958,149
urfav_nitin,Dhurandhar propaganda? ,3634,484
CHAMAROP,Galat kia Galat kia yaar ,3624,140
Yournewbestfriend_01,Real Dhurandhar of our country! ,3387,404
sagarviradiya,Thoughts 🤔 ,3374,123
imfrom_mars_,If Varun Dhawan and Tiger Shroff were in Dhurandhar 2. 😂 ,3381,53
